epoch,full_unseen_map,text_only_unseen_map_object_off,object_only_unseen_map_text_off,source_output_log,source_line
1,31.0739559219,30.8196269375,31.0484445739,01_run-20260811_090210-k1rgp1f6_output.log,817
2,34.4259892827,34.1483460055,34.3277109121,01_run-20260811_090210-k1rgp1f6_output.log,849
3,34.7171515023,34.6735398053,34.8267800034,01_run-20260811_090210-k1rgp1f6_output.log,882
4,36.0569713644,35.8765736138,36.0778570493,01_run-20260811_090210-k1rgp1f6_output.log,915
5,35.5572333165,35.4440415870,35.5418902769,01_run-20260811_090210-k1rgp1f6_output.log,946
6,36.6738786297,36.4798117207,36.7112761280,02_run-20260812_002545-k1rgp1f6_output.log,820
7,36.7634319094,36.1121800277,36.8020554935,02_run-20260812_002545-k1rgp1f6_output.log,852
8,35.6560528824,35.2493744180,35.6755125993,02_run-20260812_002545-k1rgp1f6_output.log,884
9,37.2435241773,37.1698152457,37.2005911386,02_run-20260812_002545-k1rgp1f6_output.log,915
10,36.4706360769,36.0804039326,36.4958228112,02_run-20260812_002545-k1rgp1f6_output.log,945
11,36.9128771534,36.5962384375,36.9386355314,02_run-20260812_002545-k1rgp1f6_output.log,976
12,37.1345793061,36.8474568458,37.2620990065,02_run-20260812_002545-k1rgp1f6_output.log,1007
13,36.8640567208,36.5537357938,36.8526241398,02_run-20260812_002545-k1rgp1f6_output.log,1038
14,36.9012963633,36.5991695023,36.9075111353,02_run-20260812_002545-k1rgp1f6_output.log,1069
15,36.9577009396,36.5324868140,37.0665074462,02_run-20260812_002545-k1rgp1f6_output.log,1098
16,37.1890401949,36.9002476802,37.1850018242,02_run-20260812_002545-k1rgp1f6_output.log,1129
17,37.1276624599,36.8959307352,37.2610087027,02_run-20260812_002545-k1rgp1f6_output.log,1160
