epoch,checkpoint,all_on,text_off,object_off,scene_gate_off
4,ckpt_15580_04.pt,36.05697136439599,36.077857049319746,35.87657361379178,36.086665498177126
5,ckpt_19475_05.pt,35.55723331648342,35.54189027685658,35.444041587014055,35.47159221466199
6,ckpt_23370_06.pt,36.673878629743285,36.711276127975495,36.479811720700454,36.62455336601652
7,ckpt_27265_07.pt,36.76343190943841,36.802055493458155,36.112180027743264,36.77422938753395
8,ckpt_31160_08.pt,35.65605288244748,35.675512599265076,35.24937441802504,35.63498212264316
9,ckpt_35055_09.pt,37.24352417732126,37.200591138614286,37.16981524566331,37.26439160827872
10,ckpt_38950_10.pt,36.4706360769035,36.49582281116707,36.080403932583934,36.41509559346501
11,ckpt_42845_11.pt,36.91287715340784,36.93863553140703,36.59623843747278,37.19909467311696
12,ckpt_46740_12.pt,37.13457930605259,37.26209900645137,36.84745684579026,37.13815246060452
13,ckpt_50635_13.pt,36.864056720767664,36.85262413982491,36.553735793755706,36.900216936827974
14,ckpt_54530_14.pt,36.901296363310095,36.907511135311594,36.599169502322596,36.931554602336206
15,ckpt_58425_15.pt,36.95770093957411,37.06650744618347,36.53248681397031,36.95727633011419
16,ckpt_62320_16.pt,37.18904019487377,37.185001824176624,36.9002476801751,37.19957833817438
17,ckpt_66215_17.pt,37.12766245990299,37.261008702694525,36.89593073518073,37.195095045401345
18,ckpt_70110_18.pt,37.27490563003323,37.33008032366306,36.7986763997143,37.15101976513411
19,ckpt_74005_19.pt,37.30096262904375,37.30048689981846,36.80320994862281,37.14823823398383
20,ckpt_77900_20.pt,37.1417245643729,37.143772568706765,36.9752148307423,37.09387579999499
