epoch,on_full,on_unseen,on_seen,off_full,off_unseen,off_seen,gap_full,gap_unseen,gap_seen,text_adapter_off_full,text_adapter_contribution_full,text_adapter_off_unseen,text_adapter_contribution_unseen,text_adapter_off_seen,text_adapter_contribution_seen,object_conditioned_adapter_off_full,object_conditioned_adapter_contribution_full,object_conditioned_adapter_off_unseen,object_conditioned_adapter_contribution_unseen,object_conditioned_adapter_off_seen,object_conditioned_adapter_contribution_seen,raw_mean,raw_std,raw_min,raw_max,raw_p50,raw_p90,u_mean,u_std,u_min,u_max,u_p50,u_p90,u_rel_mean,u_rel_std,u_rel_min,u_rel_max,u_rel_p50,u_rel_p90,ratio_mean,ratio_std,ratio_min,ratio_max,ratio_p50,ratio_p90
1,25.890855290759035,28.46108595972127,25.37680915696659,25.810087565660293,28.427275977787826,25.286649883234784,0.08076772509874175,0.03380998193344453,0.09015927373180688,25.857091616133214,0.03376367462582053,28.482010426459524,-0.02092446673825421,25.33210785406795,0.04470130289864116,25.89967926871759,-0.008823977958556384,28.34662910578537,0.11445685393589855,25.410289301304033,-0.0334801443374424,1.2172541618347168,2.598111629486084,-3.9072282314300537,17.23766326904297,0.559943675994873,4.5962700843811035,-0.08864282071590424,0.5847191214561462,-0.9972985982894897,1.0,-0.2538202106952667,0.8752044439315796,2.164305179519488e-09,0.5833656787872314,-1.1560815572738647,1.178218960762024,-0.1550716608762741,0.9474837779998779,0.010029115714132786,0.005961798131465912,4.038214740376134e-08,0.023564379662275314,0.009651541709899902,0.019055726006627083
2,29.67828337748639,33.53658950612183,28.906622151759304,29.654679106043908,33.51700806854569,28.88221331354355,0.023604271442483338,0.01958143757613584,0.02440883821575568,29.650421758041155,0.02786161944523613,33.39914324064236,0.13744626547946837,28.900677461520917,0.0059446902383868405,29.566580945153376,0.11170243233301491,33.37256720865606,0.16402229746577035,28.805383692452835,0.1012384593064688,0.5379451513290405,6.836771488189697,-20.80758285522461,45.31941604614258,-1.6668812036514282,10.360563278198242,-0.10785211622714996,0.5565495491027832,-0.999839186668396,1.0,-0.3166292905807495,0.8731602430343628,2.293615075643629e-09,0.5542570948600769,-1.1584326028823853,1.1838268041610718,-0.18826785683631897,0.954810619354248,0.009257880970835686,0.006096885073930025,9.313225746154785e-08,0.023676536977291107,0.008007467724382877,0.019280709326267242
3,30.546110404409042,34.55925546312152,29.74348139266656,30.506732295395373,34.528824088297284,29.702313936814996,0.03937810901366845,0.030431374824232194,0.04116745585156423,30.539806348115096,0.006304056293945592,34.55870079462062,0.0005546685008965824,29.736027458813997,0.00745393385256321,30.403358392373004,0.1427520120360377,34.197104460845296,0.3621510022762209,29.64460917867855,0.0988722139880096,0.9539200663566589,8.428053855895996,-31.51124382019043,55.91677474975586,-1.105775237083435,12.548539161682129,-0.07777241617441177,0.5924150347709656,-0.9998117089271545,1.0,-0.2374258041381836,0.8778501152992249,1.593388310183741e-09,0.590292751789093,-1.152031660079956,1.1779696941375732,-0.146072119474411,0.9375606775283813,0.010149369016289711,0.006030632648617029,2.816319266685241e-08,0.023559393361210823,0.009727462194859982,0.019065264612436295
4,31.236573074723985,35.382237968063556,30.407440096056064,31.220128109799443,35.36290945273407,30.39157184121251,0.01644496492454195,0.019328515329483764,0.015868254843553586,31.208977365691048,0.027595709032937066,35.494904317226755,-0.11266634916319873,30.351791975383907,0.05564812067215641,30.98189852934143,0.2546745453825565,35.102439881808614,0.2797980862549423,30.15779025884799,0.2496498372080751,-2.9897027015686035,10.812660217285156,-45.79484176635742,77.74759674072266,-4.93210506439209,10.027694702148438,-0.06578665226697922,0.5842339396476746,-0.9994192719459534,1.0,-0.1936386525630951,0.8522332906723022,1.5514570739227906e-09,0.5814011693000793,-1.1543484926223755,1.1763091087341309,-0.10895530879497528,0.8941486477851868,0.009930290281772614,0.006049816962331533,4.123896246710501e-08,0.023526182398200035,0.009448857977986336,0.01867537386715412
5,31.4212834304757,35.26260645286474,30.653018825997897,31.392018196734263,35.2585453275767,30.61871277056577,0.029265233741437413,0.004061125288039591,0.034306055432125504,31.386122868365923,0.035160562109776805,35.17726854112916,0.08533791173557859,30.627893733813277,0.02512509218462,31.240499180841567,0.18078424963413298,34.75223405468512,0.5103723981796193,30.538152206072855,0.1148666199250421,4.719712734222412,13.173598289489746,-64.38220977783203,94.74374389648438,2.8394155502319336,21.20046043395996,-0.07582850754261017,0.5956134796142578,-0.9998363256454468,1.0,-0.23601169884204865,0.8775773644447327,1.1404127642222761e-09,0.5934589505195618,-1.1393191814422607,1.1744500398635864,-0.14390411972999573,0.9357967376708984,0.010223246179521084,0.006030143704265356,2.2251622766589207e-08,0.023489002138376236,0.009864622727036476,0.019033951684832573
6,31.54853109718307,34.86457902033838,30.885321512552,31.58217670852526,34.855371387334756,30.92753777276335,-0.03364561134219102,0.00920763300362637,-0.04221626021135094,31.535855691351948,0.012675405831121367,34.904762235864965,-0.04018321552658222,30.862074382449343,0.02324713010265711,31.364898769244792,0.18363232793827677,34.51354823533472,0.35103078500366536,30.73516887602681,0.15015263652519195,6.209652900695801,13.934675216674805,-57.33808517456055,105.18620300292969,5.946042537689209,22.7008056640625,0.00010244313307339326,0.6305457353591919,-0.9999903440475464,1.0,0.004416350275278091,0.8482686877250671,4.613524839935934e-11,0.6281938552856445,-1.170512318611145,1.1733015775680542,0.005360731855034828,0.8439845442771912,0.011080469936132431,0.005922345444560051,1.9371511061905267e-09,0.02346603013575077,0.011561812832951546,0.018716268241405487
7,32.04043468093805,35.45801735781435,31.35691814556278,32.01271145031907,35.407660290561665,31.333721682270554,0.02772323061898163,0.05035706725268341,0.023196463292226355,31.941551312556083,0.09888336838196565,35.31668142087495,0.14133593693939872,31.26652529089231,0.09039285467046909,31.69427028701626,0.3461643939217893,34.763719387818824,0.6942979699955245,31.080380466855743,0.2765376787070366,9.360673904418945,14.686367988586426,-73.57349395751953,118.91999816894531,8.897089958190918,27.306020736694336,-0.009835893288254738,0.6261104941368103,-0.9999942779541016,1.0,-0.03036235272884369,0.8596106171607971,3.187547170657723e-10,0.623440682888031,-1.1617958545684814,1.1763112545013428,-0.020235851407051086,0.868756115436554,0.010946068912744522,0.005971170961856842,4.254281549265215e-08,0.023526227101683617,0.011256654746830463,0.018827099353075027
8,32.315939840077256,35.19495755137457,31.740136297817795,32.32097225913387,35.195413604041526,31.74608399015233,-0.005032419056611559,-0.00045605266695503133,-0.0059476923345336274,32.206866888928076,0.10907295114918014,35.04156814166275,0.1533894097118207,31.639926638381144,0.10020965943665061,32.09319873475708,0.22274110532017488,35.169387031095354,0.025570520279217135,31.47796107548943,0.26217522232836643,10.434224128723145,17.61638069152832,-86.3001937866211,144.34593200683594,10.179160118103027,32.139984130859375,-0.0025855880230665207,0.62348872423172,-0.9999812245368958,1.0,-0.005958677269518375,0.8513078689575195,4.696271149740028e-10,0.6205008029937744,-1.1637077331542969,1.1777511835098267,-0.005014920607209206,0.8533132076263428,0.010860319249331951,0.0060051619075238705,3.471970444479666e-08,0.023555021733045578,0.011076046153903008,0.01887686550617218
9,32.4514873799799,35.7424607975527,31.793292696465343,32.36705062853105,35.643432267930564,31.71177430065114,0.08443675144885532,0.0990285296221387,0.08151839581420361,32.39487846444987,0.056608915530034665,35.60127806750067,0.14118273005203008,31.7535985438397,0.03969415262564269,32.06545618371445,0.38603119626544924,35.4750287637644,0.26743203378830316,31.383541667704463,0.4097510287608799,9.528632164001465,17.456130981445312,-95.05559539794922,143.32620239257812,8.736176490783691,30.248640060424805,-0.020639684051275253,0.6184974312782288,-0.9999556541442871,1.0,-0.06798433512449265,0.8588992357254028,-5.031951244571786e-11,0.614876389503479,-1.1711997985839844,1.1810448169708252,-0.04352939501404762,0.8789538741111755,0.010730866342782974,0.006006474606692791,4.358589578146166e-08,0.02362089604139328,0.010784005746245384,0.018933601677417755
10,32.72173978096172,35.44312925346721,32.17746188646062,32.72628289773754,35.447887600109986,32.18196195726306,-0.004543116775820977,-0.0047583466427738585,-0.00450007080244319,32.73413382335618,-0.012394042394461735,35.44332129053496,-0.0001920370677481742,32.192296329920424,-0.014834443459804447,32.39391844730388,0.3278213336578375,35.124857604771606,0.31827164869560676,31.847730615810338,0.3297312706502815,9.83150863647461,16.579364776611328,-88.98689270019531,168.48699951171875,7.995264053344727,29.622392654418945,-0.02707917056977749,0.6155319213867188,-0.9999985098838806,1.0,-0.08925612270832062,0.858281135559082,4.906292594419881e-10,0.6122059226036072,-1.1770542860031128,1.1823102235794067,-0.05723634362220764,0.8811377286911011,0.010683544911444187,0.005981665104627609,1.9371508841459217e-08,0.02364620380103588,0.010776051320135593,0.018825018778443336
