epoch,on_full,on_unseen,on_seen,off_full,off_unseen,off_seen,gap_full,gap_unseen,gap_seen,text_adapter_off_full,text_adapter_contribution_full,text_adapter_off_unseen,text_adapter_contribution_unseen,text_adapter_off_seen,text_adapter_contribution_seen,object_conditioned_adapter_off_full,object_conditioned_adapter_contribution_full,object_conditioned_adapter_off_unseen,object_conditioned_adapter_contribution_unseen,object_conditioned_adapter_off_seen,object_conditioned_adapter_contribution_seen,text_lr_unseen_contribution,text_lr_before,text_lr_next_epoch,text_lr_trigger,scene_gate_lr_unseen_contribution,scene_gate_lr_threshold,scene_gate_lr_before,scene_gate_lr_next_epoch,scene_gate_lr_trigger,joint_best_unseen_before,joint_current_unseen,joint_delta_vs_best,joint_significant_delta,joint_new_best,joint_rollback,joint_optimizer_reset,joint_action,joint_object_lr_evaluated_epoch,joint_gate_lr_evaluated_epoch,joint_object_lr_next_epoch,joint_gate_lr_next_epoch,joint_no_best_streak,joint_patience,joint_early_stop,staged_attempt,staged_retry_count,staged_full_mAP,staged_unseen_mAP,staged_seen_mAP,staged_historical_best_before,staged_decline_from_best,staged_allowed_decline,staged_threshold_reached_before,staged_threshold_reached_after,staged_one_time_lr_drop_applied,staged_lr_head_used,staged_lr_vit_used,staged_lr_object_used,staged_lr_head_next,staged_lr_vit_next,staged_lr_object_next,staged_rollback_count,staged_rollback_count_total,staged_object_forward_active,raw_mean,raw_std,raw_min,raw_max,raw_p50,raw_p90,u_mean,u_std,u_min,u_max,u_p50,u_p90,u_rel_mean,u_rel_std,u_rel_min,u_rel_max,u_rel_p50,u_rel_p90,ratio_mean,ratio_std,ratio_min,ratio_max,ratio_p50,ratio_p90
1,28.46999728940847,31.408982945907805,27.882200158108606,28.46999728940847,31.408982945907805,27.882200158108606,0.0,0.0,0.0,28.46999728940847,0.0,31.408982945907805,0.0,27.882200158108606,0.0,28.46999728940847,0.0,31.408982945907805,0.0,27.882200158108606,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1,0,28.46999728940847,31.408982945907805,27.882200158108606,,0.0,0.15,False,False,False,0.0005,0.0002,0.0002,0.0005,0.0002,0.0002,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30.755967600580398,33.07295833806079,30.292569453084322,30.755967600580398,33.07295833806079,30.292569453084322,0.0,0.0,0.0,30.755967600580398,0.0,33.07295833806079,0.0,30.292569453084322,0.0,30.755967600580398,0.0,33.07295833806079,0.0,30.292569453084322,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1,0,30.755967600580398,33.07295833806079,30.292569453084322,31.408982945907805,-1.663975392152988,0.15,False,False,False,0.0005,0.0002,0.0002,0.0005,0.0002,0.0002,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,31.762701424034777,34.26331334672714,31.262579039496302,31.762701424034777,34.26331334672714,31.262579039496302,0.0,0.0,0.0,31.762701424034777,0.0,34.26331334672714,0.0,31.262579039496302,0.0,31.762701424034777,0.0,34.26331334672714,0.0,31.262579039496302,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1,0,31.762701424034777,34.26331334672714,31.262579039496302,33.07295833806079,-1.1903550086663444,0.15,False,False,False,0.0005,0.0002,0.0002,0.0005,0.0002,0.0002,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,32.467123960809424,36.24124728838561,31.712299295294187,32.467123960809424,36.24124728838561,31.712299295294187,0.0,0.0,0.0,32.467123960809424,0.0,36.24124728838561,0.0,31.712299295294187,0.0,32.467123960809424,0.0,36.24124728838561,0.0,31.712299295294187,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1,0,32.467123960809424,36.24124728838561,31.712299295294187,34.26331334672714,-1.9779339416584705,0.15,False,False,False,0.0005,0.0002,0.0002,0.0005,0.0002,0.0002,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,32.92997169705004,36.41509698966879,32.2329466385263,32.92997169705004,36.41509698966879,32.2329466385263,0.0,0.0,0.0,32.92997169705004,0.0,36.41509698966879,0.0,32.2329466385263,0.0,32.92997169705004,0.0,36.41509698966879,0.0,32.2329466385263,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2,1,32.92997169705004,36.41509698966879,32.2329466385263,36.24124728838561,-0.17384970128318145,0.15,False,False,False,0.00025,0.0001,0.0001,0.00025,0.0001,0.0001,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,33.17514127105528,36.356422259552275,32.538885073355885,33.17514127105528,36.356422259552275,32.538885073355885,0.0,0.0,0.0,33.17514127105528,0.0,36.356422259552275,0.0,32.538885073355885,0.0,33.16442226373502,0.010719007320261653,36.347610950071505,0.00881130948076958,32.52778452646771,0.011100546888172858,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1,0,33.17514127105528,36.356422259552275,32.538885073355885,36.41509698966879,0.058674730116514695,0.15,False,False,False,0.00025,0.0001,0.0002,0.00025,0.0001,0.0002,0,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,33.30298700509703,36.629509247683785,32.63768255657967,33.30298700509703,36.629509247683785,32.63768255657967,0.0,0.0,0.0,33.30298700509703,0.0,36.629509247683785,0.0,32.63768255657967,0.0,33.300750231321445,0.002236773775585732,36.62302035614641,0.006488891537372865,32.636296206356455,0.0013863502232140945,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1,0,33.30298700509703,36.629509247683785,32.63768255657967,36.41509698966879,-0.21441225801499542,0.15,False,False,False,0.00025,0.0001,0.0002,0.00025,0.0001,0.0002,0,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,33.66918853259899,36.491936727912396,33.10463889353631,33.66918853259899,36.491936727912396,33.10463889353631,0.0,0.0,0.0,33.66918853259899,0.0,36.491936727912396,0.0,33.10463889353631,0.0,33.671047064803965,-0.0018585322049773367,36.492358914088236,-0.0004221861758395562,33.10678469494711,-0.0021458014107977874,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4,3,33.66918853259899,36.491936727912396,33.10463889353631,36.629509247683785,0.13757251977138907,0.15,False,False,False,3.125e-05,1.25e-05,2.5e-05,3.125e-05,1.25e-05,2.5e-05,3,4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,33.57059987237761,36.48332627351192,32.98805459215074,33.57059987237761,36.48332627351192,32.98805459215074,0.0,0.0,0.0,33.57059987237761,0.0,36.48332627351192,0.0,32.98805459215074,0.0,33.570852668433275,-0.0002527960556619746,36.48473809644491,-0.001411822932986695,32.98807558283095,-2.0990680212662483e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2,1,33.57059987237761,36.48332627351192,32.98805459215074,36.629509247683785,0.14618297417186454,0.15,False,False,False,1.5625e-05,6.25e-06,1.25e-05,1.5625e-05,6.25e-06,1.25e-05,1,5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,33.76701000234036,36.59858021464975,33.2006959598785,33.76701000234036,36.59858021464975,33.2006959598785,0.0,0.0,0.0,33.76701000234036,0.0,36.59858021464975,0.0,33.2006959598785,0.0,33.75318376412733,0.01382623821303497,36.61530600322262,-0.016725788572870215,33.18075931630826,0.019936643570240165,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1,0,33.76701000234036,36.59858021464975,33.2006959598785,36.629509247683785,0.030929033034034603,0.15,False,False,False,1.5625e-05,6.25e-06,1.25e-05,1.5625e-05,6.25e-06,1.25e-05,0,5,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
