epoch,on_full,on_unseen,on_seen,off_full,off_unseen,off_seen,gap_full,gap_unseen,gap_seen,text_adapter_off_full,text_adapter_contribution_full,text_adapter_off_unseen,text_adapter_contribution_unseen,text_adapter_off_seen,text_adapter_contribution_seen,object_conditioned_adapter_off_full,object_conditioned_adapter_contribution_full,object_conditioned_adapter_off_unseen,object_conditioned_adapter_contribution_unseen,object_conditioned_adapter_off_seen,object_conditioned_adapter_contribution_seen,text_lr_unseen_contribution,text_lr_before,text_lr_next_epoch,text_lr_trigger,scene_gate_lr_unseen_contribution,scene_gate_lr_threshold,scene_gate_lr_before,scene_gate_lr_next_epoch,scene_gate_lr_trigger,joint_best_unseen_before,joint_current_unseen,joint_delta_vs_best,joint_significant_delta,joint_new_best,joint_rollback,joint_optimizer_reset,joint_action,joint_object_lr_evaluated_epoch,joint_gate_lr_evaluated_epoch,joint_object_lr_next_epoch,joint_gate_lr_next_epoch,joint_no_best_streak,joint_patience,joint_early_stop,staged_attempt,staged_retry_count,staged_full_mAP,staged_unseen_mAP,staged_seen_mAP,staged_historical_best_before,staged_decline_from_best,staged_allowed_decline,staged_threshold_reached_before,staged_threshold_reached_after,staged_one_time_lr_drop_applied,staged_lr_head_used,staged_lr_vit_used,staged_lr_object_used,staged_lr_head_next,staged_lr_vit_next,staged_lr_object_next,staged_rollback_count,staged_rollback_count_total,staged_object_forward_active,raw_mean,raw_std,raw_min,raw_max,raw_p50,raw_p90,u_mean,u_std,u_min,u_max,u_p50,u_p90,u_rel_mean,u_rel_std,u_rel_min,u_rel_max,u_rel_p50,u_rel_p90,ratio_mean,ratio_std,ratio_min,ratio_max,ratio_p50,ratio_p90
1,31.48030113694103,34.7987304159086,30.81661528114752,0.0,0.0,0.0,0.0,0.0,0.0,31.480265086932064,3.605000896556021e-05,34.79811301791382,0.0006173979947803332,30.81669550073571,-8.021958819171005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,32.37752467644984,36.0816977443431,31.636690062871185,0.0,0.0,0.0,0.0,0.0,0.0,32.390457717112895,-0.012933040663057227,36.12266874138143,-0.04097099703832896,31.644015512259195,-0.007325449388009275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,32.8025152251238,35.12380372335721,32.33825752547712,0.0,0.0,0.0,0.0,0.0,0.0,32.802842550119074,-0.00032732499527554637,35.123880877786775,-7.715442956168772e-05,32.33863488458553,-0.00037735910841263376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,33.26558713879409,35.86792899602952,32.74511876734701,0.0,0.0,0.0,0.0,0.0,0.0,33.28031905278876,-0.014731913994673107,35.867859592589525,6.940343999417564e-05,32.762810944828615,-0.017692177481606564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,33.22509944803544,36.3159614553977,32.60692704656299,0.0,0.0,0.0,0.0,0.0,0.0,33.231193269048646,-0.006093821013209322,36.32721739231036,-0.011255936912661468,32.61198844439631,-0.005061397833323156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,33.51574431808601,37.11196305909567,32.796500569884074,0.0,0.0,0.0,0.0,0.0,0.0,33.51562155985446,0.00012275823154794807,37.11166145920771,0.00030159988796185644,32.7964135799838,8.6989900275114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,34.15132414551596,37.08149912153,33.565289150313134,0.0,0.0,0.0,0.0,0.0,0.0,34.15115931541529,0.00016483010066536963,37.08169584743263,-0.00019672590262587164,33.56505200901182,0.0002371413013122492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,34.11535223006196,36.50253354613186,33.637915966847984,0.0,0.0,0.0,0.0,0.0,0.0,34.11635363268596,-0.0010014026239986151,36.506099056730946,-0.003565510599088384,33.63840454787696,-0.000488581028974977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,34.42002473111564,36.72941200820617,33.958147275697534,0.0,0.0,0.0,0.0,0.0,0.0,34.42053921271408,-0.0005144815984436946,36.72937418561672,3.782258944795558e-05,33.95877221813357,-0.0006249424360333933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,34.47510116895828,36.94333844718647,33.98145371331265,0.0,0.0,0.0,0.0,0.0,0.0,34.475890396159386,-0.0007892272011034152,36.9448683552824,-0.001529908095932342,33.98209480433479,-0.0006410910221390509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,34.60820323099952,37.19675575618459,34.090492725962505,0.0,0.0,0.0,0.0,0.0,0.0,34.609495783908635,-0.0012925529091134536,37.199115626915585,-0.0023598707309986366,34.09157181530723,-0.0010790893447278904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,34.38456876720912,36.982237331580414,33.86503505433486,0.0,0.0,0.0,0.0,0.0,0.0,34.38435320544478,0.00021556176433534802,36.976282453651365,0.0059548779290494736,33.86596735580347,-0.0009323014686088982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,34.57601047749542,37.19751391596667,34.05170978980118,0.0,0.0,0.0,0.0,0.0,0.0,34.57601803095446,-7.5534590351367115e-06,37.19585929536755,0.0016546205991190277,34.05204977807184,-0.00033998827066028525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,34.468730917348026,37.23713541585022,33.91505001764758,0.0,0.0,0.0,0.0,0.0,0.0,34.4632419976484,0.005488919699622841,37.24276105339273,-0.005625637542507889,33.90733818649954,0.007711831148043302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,34.73672202859388,37.18780908381876,34.24650461754891,0.0,0.0,0.0,0.0,0.0,0.0,34.73596060355108,0.0007614250428034097,37.18882736165021,-0.0010182778314486995,34.245387251931255,0.0011173656176524105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,34.593468986580675,37.154446948319254,34.081273394232944,0.0,0.0,0.0,0.0,0.0,0.0,34.59061302930353,0.0028559572771413855,37.15180785260327,0.0026390957159847517,34.07837406464359,0.002899329589354238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,34.5548717185122,37.036323674760254,34.058581327262594,0.0,0.0,0.0,0.0,0.0,0.0,34.551798844603724,0.0030728739084793233,37.02523047766163,0.01109319709862433,34.05711251799213,0.0014688092704631117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,34.62094368310623,36.9395428338088,34.15722385296572,0.0,0.0,0.0,0.0,0.0,0.0,34.62044260759337,0.0005010755128651567,36.932857041548914,0.00668579225988708,34.15795972080225,-0.0007358678365321225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,34.428737132283956,37.017787294955475,33.91092709974964,0.0,0.0,0.0,0.0,0.0,0.0,34.4265283455569,0.002208786727052825,37.027457380370215,-0.009670085414740015,33.90634253859423,0.004584561155411393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,34.165133557221786,36.69755791383779,33.6586486858986,0.0,0.0,0.0,0.0,0.0,0.0,34.158936920290046,0.006196636931740329,36.70192554334692,-0.004367629509125948,33.65033919567867,0.008309490219929216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
