level,actual_group,predicted_group,count,matched_row_total,rate_within_matched_row
hoi_level,seen,seen,22052,22184,0.9940497655968266
hoi_level,seen,unseen,132,22184,0.005950234403173459
hoi_level,seen,unmatched,6233,22184,
hoi_level,unseen,seen,165,4277,0.03857844283376198
hoi_level,unseen,unseen,4112,4277,0.961421557166238
hoi_level,unseen,unmatched,711,4277,
object_level,seen,seen,22052,22184,0.9940497655968266
object_level,seen,unseen,132,22184,0.005950234403173459
object_level,seen,unmatched,6233,22184,
object_level,unseen,seen,165,4277,0.03857844283376198
object_level,unseen,unseen,4112,4277,0.961421557166238
object_level,unseen,unmatched,711,4277,
