level,actual_group,predicted_group,count,matched_row_total,rate_within_matched_row
hoi_level,seen,seen,22046,22179,0.994003336489472
hoi_level,seen,unseen,133,22179,0.005996663510527977
hoi_level,seen,unmatched,6238,22179,
hoi_level,unseen,seen,165,4277,0.03857844283376198
hoi_level,unseen,unseen,4112,4277,0.961421557166238
hoi_level,unseen,unmatched,711,4277,
object_level,seen,seen,22046,22179,0.994003336489472
object_level,seen,unseen,133,22179,0.005996663510527977
object_level,seen,unmatched,6238,22179,
object_level,unseen,seen,165,4277,0.03857844283376198
object_level,unseen,unseen,4112,4277,0.961421557166238
object_level,unseen,unmatched,711,4277,
