id	run_name	status	started_at	finished_at	checkpoint	sha256	log
01	01_uo_joint_gate_lr1e4_seed66	OK	2026-09-15T03:12:47+08:00	2026-09-15T03:30:09+08:00	/root/autodl-tmp/Lain/reviewer_revision/01_uo_joint_gate_lr1e4_seed66/checkpoints/ckpt_77900_20.pt	e26d73ca5f9261b9e123ae6e6c46482808cc85bbeba79715207b442b2e58b276	/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/01_uo_joint_gate_lr1e4_seed66/eval.log
02	02_uo_joint_gate_lr3e4_seed66	OK	2026-09-15T03:30:09+08:00	2026-09-15T03:47:47+08:00	/root/autodl-tmp/Lain/reviewer_revision/02_uo_joint_gate_lr3e4_seed66/checkpoints/ckpt_77900_20.pt	e63d5316e42cd4354df4b3c0266131fb88662c1b83c7bec07099969b0b890f6c	/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/02_uo_joint_gate_lr3e4_seed66/eval.log
03	03_uo_joint_gate_alpha002_seed66	OK	2026-09-15T03:47:47+08:00	2026-09-15T04:05:17+08:00	/root/autodl-tmp/Lain/reviewer_revision/03_uo_joint_gate_alpha002_seed66/checkpoints/ckpt_77900_20.pt	ddee4bee2e2152b5217bdf8dde32b8cb5890c7364f4664821e75320914c421ce	/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/03_uo_joint_gate_alpha002_seed66/eval.log
04	04_uo_joint_gate_alpha005_seed66	SKIPPED_NO_E20	2026-09-15T04:05:17+08:00	2026-09-15T04:05:17+08:00			/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/04_uo_joint_gate_alpha005_seed66/eval.log
05	05_uo_joint_gate_start5_seed66	SKIPPED_NO_E20	2026-09-15T04:05:17+08:00	2026-09-15T04:05:17+08:00			/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/05_uo_joint_gate_start5_seed66/eval.log
06	06_uo_text_rank8_seed66	FAILED_1	2026-09-15T04:05:17+08:00	2026-09-15T04:05:28+08:00	/root/autodl-tmp/Lain/reviewer_revision/06_uo_text_rank8_seed66/checkpoints/ckpt_77900_20.pt	881c1e094da29c930c9ecdb01e5766eaf0ac02457332e2751ae2d05080e735ea	/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/06_uo_text_rank8_seed66/eval.log
07	07_uo_paper_gate_rank32_seed66	OK	2026-09-15T04:05:28+08:00	2026-09-15T04:34:01+08:00	/root/autodl-tmp/Lain/reviewer_revision/07_uo_paper_gate_rank32_seed66/checkpoints/ckpt_77900_20.pt	cdcc5490a6229a614d26c27a883747a712a099f9fe1995c8223322dbc6f5389b	/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/07_uo_paper_gate_rank32_seed66/eval.log
08	08_uo_paper_gate_rank64_seed66	SKIPPED_NO_E20	2026-09-15T04:34:01+08:00	2026-09-15T04:34:01+08:00			/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/08_uo_paper_gate_rank64_seed66/eval.log
09	09_uo_paper_gate_no_centering_seed66	OK	2026-09-15T04:34:01+08:00	2026-09-15T05:02:59+08:00	/root/autodl-tmp/Lain/reviewer_revision/09_uo_paper_gate_no_centering_seed66/checkpoints/ckpt_77900_20.pt	25ec1b62960eb710e6036f7be273bcfaf1a4187e29382218c77dfc28da5938b7	/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/09_uo_paper_gate_no_centering_seed66/eval.log
10	10_rfuc_lain_matched_seed66	SKIPPED_NO_E20	2026-09-15T05:02:59+08:00	2026-09-15T05:02:59+08:00			/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/10_rfuc_lain_matched_seed66/eval.log
11	11_rfuc_text_rank4_seed66	SKIPPED_NO_E20	2026-09-15T05:02:59+08:00	2026-09-15T05:02:59+08:00			/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/11_rfuc_text_rank4_seed66/eval.log
12	12_nfuc_lain_matched_seed66	OK	2026-09-15T05:02:59+08:00	2026-09-15T05:19:52+08:00	/root/autodl-tmp/Lain/reviewer_revision/12_nfuc_lain_matched_seed66/checkpoints/ckpt_41560_20.pt	90a5d57fc7678ad6e61627fef3a261342642ba0a32c47e9bc79ede68c066f111	/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/12_nfuc_lain_matched_seed66/eval.log
13	13_nfuc_text_rank4_seed66	SKIPPED_NO_E20	2026-09-15T05:19:52+08:00	2026-09-15T05:19:52+08:00			/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/13_nfuc_text_rank4_seed66/eval.log
14	14_uv_lain_matched_seed66	OK	2026-09-15T05:19:52+08:00	2026-09-15T05:36:49+08:00	/root/autodl-tmp/Lain/reviewer_revision/14_uv_lain_matched_seed66/checkpoints/ckpt_88880_20.pt	c59f2da9db922a9383e1518f5dd21e0dd227024930113f5de6e2cbaa20064ca0	/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/14_uv_lain_matched_seed66/eval.log
15	15_uv_text_rank4_seed66	SKIPPED_NO_E20	2026-09-15T05:36:49+08:00	2026-09-15T05:36:49+08:00			/root/autodl-tmp/Lain/seen_unseen_confusion_eval_20260915/reviewer_revision/15_uv_text_rank4_seed66/eval.log
