epoch,on_full,on_unseen,on_seen,off_full,off_unseen,off_seen,gap_full,gap_unseen,gap_seen,text_adapter_off_full,text_adapter_contribution_full,text_adapter_off_unseen,text_adapter_contribution_unseen,text_adapter_off_seen,text_adapter_contribution_seen,object_conditioned_adapter_off_full,object_conditioned_adapter_contribution_full,object_conditioned_adapter_off_unseen,object_conditioned_adapter_contribution_unseen,object_conditioned_adapter_off_seen,object_conditioned_adapter_contribution_seen,text_lr_unseen_contribution,text_lr_before,text_lr_next_epoch,text_lr_trigger,scene_gate_lr_unseen_contribution,scene_gate_lr_threshold,scene_gate_lr_before,scene_gate_lr_next_epoch,scene_gate_lr_trigger,joint_best_unseen_before,joint_current_unseen,joint_delta_vs_best,joint_significant_delta,joint_new_best,joint_rollback,joint_optimizer_reset,joint_action,joint_object_lr_evaluated_epoch,joint_gate_lr_evaluated_epoch,joint_object_lr_next_epoch,joint_gate_lr_next_epoch,joint_no_best_streak,joint_patience,joint_early_stop,staged_attempt,staged_retry_count,staged_full_mAP,staged_unseen_mAP,staged_seen_mAP,staged_historical_best_before,staged_decline_from_best,staged_allowed_decline,staged_threshold_reached_before,staged_threshold_reached_after,staged_one_time_lr_drop_applied,staged_lr_head_used,staged_lr_vit_used,staged_lr_object_used,staged_lr_head_next,staged_lr_vit_next,staged_lr_object_next,staged_rollback_count,staged_rollback_count_total,staged_object_forward_active,raw_mean,raw_std,raw_min,raw_max,raw_p50,raw_p90,u_mean,u_std,u_min,u_max,u_p50,u_p90,u_rel_mean,u_rel_std,u_rel_min,u_rel_max,u_rel_p50,u_rel_p90,ratio_mean,ratio_std,ratio_min,ratio_max,ratio_p50,ratio_p90
1,28.102238571020955,30.694405363311176,27.583805212562908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.342965602874756,0.587212860584259,-7.9770379066467285,-2.2542569637298584,-5.358123302459717,-4.581172943115234,-0.9999071359634399,0.00018554583948571235,-0.9999997615814209,-0.9782103896141052,-0.9999556541442871,-0.9997901916503906,2.3514765246090974e-08,0.00012187151151010767,-0.006374835968017578,0.015250325202941895,-2.86102294921875e-06,4.25875186920166e-05,3.82368989448878e-06,1.1571779396035708e-05,0.0,0.0015250325668603182,1.3470651083480334e-06,8.624791007605381e-06
2,29.701414024011957,33.30837135593479,28.98002255762739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.642581462860107,1.7095284461975098,-11.50788688659668,-1.545350193977356,-4.354319095611572,-2.5803256034851074,-0.9967259764671326,0.007010528817772865,-1.0,-0.9130150079727173,-0.9996697306632996,-0.9885895252227783,2.1794420490550692e-08,0.0030540390871465206,-0.04716312885284424,0.04692810773849487,-2.205371856689453e-06,0.002071952447295189,0.00013408373342826962,0.00027439589030109346,0.0,0.004716312978416681,2.856850733223837e-05,0.00038343071355484426
3,30.979616240867998,34.03182176625113,30.369175135791366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5615389347076416,2.2148139476776123,-15.420154571533203,0.21192710101604462,-1.8193966150283813,-0.5003664493560791,-0.8325315713882446,0.2404344230890274,-1.0,0.20881031453609467,-0.9487782120704651,-0.46240532398223877,2.0326105243384518e-08,0.15078026056289673,-0.7861430644989014,0.8185788989067078,-0.0003930032253265381,0.18000510334968567,0.009523183107376099,0.011689990758895874,0.0,0.08185790479183197,0.005043432116508484,0.026175711303949356
4,31.819518824232695,35.67883971697919,31.04765464568339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.733619213104248,2.39350962638855,-21.645875930786133,0.18974989652633667,-4.254150390625,-2.327124834060669,-0.9867356419563293,0.06705912202596664,-1.0,0.18750491738319397,-0.9995965361595154,-0.9811375141143799,2.3185563691185962e-08,0.0424797423183918,-0.8294345140457153,0.9627415537834167,-2.568960189819336e-05,0.0029761195182800293,0.0009382133139297366,0.004143071826547384,0.0,0.09627416729927063,3.8224461604841053e-05,0.0014947234885767102
5,32.06751083548513,35.441304668372425,31.39275206890767,32.06751083548513,35.441304668372425,31.39275206890767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.93039608001709,2.9437925815582275,-28.622705459594727,-1.4798905849456787,-11.281702995300293,-8.999698638916016,-0.9999985098838806,0.00018187995010521263,-1.0,-0.9014474749565125,-1.0,-0.9999999403953552,4.445406709407962e-09,0.00015570207324344665,-0.01573467254638672,0.08279573917388916,0.0,0.0,1.775520672708808e-07,1.5569197785225697e-05,0.0,0.008279575034976006,0.0,5.9604645663569045e-09
6,32.23282677185777,36.56876316501044,31.36563949322724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.525022506713867,4.021421909332275,-34.57853317260742,-4.29484224319458,-12.449357986450195,-9.283635139465332,-1.0,6.481771492872213e-07,-1.0,-0.9996280670166016,-1.0,-1.0,2.1441310948944192e-09,5.806805916108715e-07,-4.07099723815918e-05,0.0003312230110168457,0.0,0.0,2.423539369189598e-09,5.801785718517749e-08,0.0,3.312230546725914e-05,0.0,5.9604645663569045e-09
7,32.52927381080024,36.415209050288254,31.752086762902636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.43377685546875,8.182043075561523,-55.194732666015625,-1.286198377609253,-17.987964630126953,-9.81368637084961,-0.999997079372406,0.00026370998239144683,-1.0,-0.8581275939941406,-1.0,-1.0,4.138190679014997e-09,0.000241352419834584,-0.016391396522521973,0.1254810094833374,0.0,0.0,3.746950483218825e-07,2.4132335965987295e-05,0.0,0.01254810206592083,0.0,1.1920930020892229e-08
8,32.869682287035104,35.834291305894354,32.276760483263246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.83911895751953,8.429842948913574,-69.87635040283203,-12.191303253173828,-32.35641098022461,-24.21349334716797,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.6411948466910076e-09,9.753425622704981e-09,-5.960464477539063e-08,0.0,0.0,0.0,1.641194818935432e-10,9.75342695497261e-10,0.0,5.960465898624534e-09,0.0,0.0
9,32.94238948733981,36.819212663565054,32.167024852094755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.648597717285156,8.292057037353516,-72.07614135742188,-14.492748260498047,-36.33665466308594,-27.964130401611328,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.6125876189931887e-09,9.670433342989782e-09,-5.960464477539063e-08,0.0,0.0,0.0,1.6125877022599155e-10,9.670433342989782e-10,0.0,5.960465898624534e-09,0.0,0.0
10,33.38823171856682,36.664343419078584,32.73300937846448,33.38823171856682,36.664343419078584,32.73300937846448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.22214126586914,8.38658618927002,-81.97525787353516,-23.340307235717773,-47.240013122558594,-38.18613815307617,-0.9999999403953552,0.0,-1.0,-1.0,-1.0,-1.0,-1.613273958867012e-09,9.672433520790946e-09,-5.960464477539063e-08,0.0,0.0,0.0,1.613273958867012e-10,9.672433964880156e-10,0.0,5.960465898624534e-09,0.0,0.0
