epoch,on_full,on_unseen,on_seen,off_full,off_unseen,off_seen,gap_full,gap_unseen,gap_seen,text_adapter_off_full,text_adapter_contribution_full,text_adapter_off_unseen,text_adapter_contribution_unseen,text_adapter_off_seen,text_adapter_contribution_seen,object_conditioned_adapter_off_full,object_conditioned_adapter_contribution_full,object_conditioned_adapter_off_unseen,object_conditioned_adapter_contribution_unseen,object_conditioned_adapter_off_seen,object_conditioned_adapter_contribution_seen,text_lr_unseen_contribution,text_lr_before,text_lr_next_epoch,text_lr_trigger,scene_gate_lr_unseen_contribution,scene_gate_lr_threshold,scene_gate_lr_before,scene_gate_lr_next_epoch,scene_gate_lr_trigger,joint_best_unseen_before,joint_current_unseen,joint_delta_vs_best,joint_significant_delta,joint_new_best,joint_rollback,joint_optimizer_reset,joint_action,joint_object_lr_evaluated_epoch,joint_gate_lr_evaluated_epoch,joint_object_lr_next_epoch,joint_gate_lr_next_epoch,joint_no_best_streak,joint_patience,joint_early_stop,staged_attempt,staged_retry_count,staged_full_mAP,staged_unseen_mAP,staged_seen_mAP,staged_historical_best_before,staged_decline_from_best,staged_allowed_decline,staged_threshold_reached_before,staged_threshold_reached_after,staged_one_time_lr_drop_applied,staged_lr_head_used,staged_lr_vit_used,staged_lr_object_used,staged_lr_head_next,staged_lr_vit_next,staged_lr_object_next,staged_rollback_count,staged_rollback_count_total,staged_object_forward_active,raw_mean,raw_std,raw_min,raw_max,raw_p50,raw_p90,u_mean,u_std,u_min,u_max,u_p50,u_p90,u_rel_mean,u_rel_std,u_rel_min,u_rel_max,u_rel_p50,u_rel_p90,ratio_mean,ratio_std,ratio_min,ratio_max,ratio_p50,ratio_p90
1,27.940049479434897,30.413593873367724,27.445340600648336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2037869691848755,4.430736064910889,-19.727514266967773,9.730314254760742,-0.9515278935432434,4.390125274658203,-0.15272147953510284,0.9037323594093323,-1.0,1.0,-0.7404739856719971,0.9996925592422485,-0.15272147953510284,0.9037323594093323,-1.0,1.0,-0.7404739856719971,0.9996925592422485,0.08889845013618469,0.022307535633444786,5.5320562353244895e-08,0.10000002384185791,0.09966670721769333,0.09999992698431015
2,30.26556538568111,33.74750928864145,29.56917660508904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.258142471313477,3.4897878170013428,-0.5602979063987732,36.70683288574219,21.280242919921875,25.626888275146484,0.9999904036521912,0.0034512996207922697,-0.5081983804702759,1.0,1.0,1.0,0.9999904036521912,0.0034512996207922697,-0.5081983804702759,1.0,1.0,1.0,0.09999948740005493,0.0001805498031899333,0.00609515979886055,0.10000003129243851,0.10000000149011612,0.10000000894069672
3,31.1535580438486,35.221893213197916,30.339891009978736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.807315826416016,3.7197635173797607,0.6438180208206177,35.86979293823242,21.930646896362305,26.395442962646484,0.9999973773956299,0.0007243433501571417,0.5674935579299927,1.0,1.0,1.0,0.9999973773956299,0.0007243433501571417,0.5674935579299927,1.0,1.0,1.0,0.09999974071979523,7.243434083648026e-05,0.05674935504794121,0.10000003129243851,0.10000000149011612,0.10000000894069672
4,31.718868515687408,35.220193429058895,31.018603533013106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.959068298339844,7.768216609954834,-27.95343780517578,36.31276321411133,21.458662033081055,26.341136932373047,0.9089560508728027,0.41355279088020325,-1.0,1.0,1.0,1.0,0.9089560508728027,0.41355279088020325,-1.0,1.0,1.0,1.0,0.09980935603380203,0.0032198100816458464,7.466301030945033e-05,0.10000003129243851,0.10000000149011612,0.10000000894069672
5,32.39322498915932,36.34084051998299,31.603701882994585,32.38942485655194,36.23073832747586,31.62116216236716,0.0038001326073811015,0.11010219250712794,-0.01746027937257466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.35667419433594,5.776526927947998,13.523316383361816,59.97356033325195,42.86854553222656,49.28886032104492,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.10000000894069672,6.888308146102418e-09,0.09999997168779373,0.10000003129243851,0.10000000149011612,0.10000000894069672
6,32.55074110217382,35.928729520818294,31.875143418444935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.42217254638672,6.2842817306518555,12.87928581237793,61.066139221191406,44.19602966308594,50.82493591308594,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.10000003129243851,2.7238561628450952e-08,0.09999997168779373,0.10000003129243851,0.10000000149011612,0.10000000894069672
7,32.97297567636509,36.69695024769983,32.228180762098134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.38065719604492,9.2142972946167,-3.7212705612182617,74.4594497680664,51.721168518066406,60.76459884643555,0.9999889135360718,0.004447957966476679,-0.9988290667533875,1.0,1.0,1.0,0.9999889135360718,0.004447957966476679,-0.9988290667533875,1.0,1.0,1.0,0.0999998226761818,0.0001360966998618096,0.008333004079759121,0.10000003129243851,0.10000000149011612,0.10000000894069672
8,32.91443723924353,36.75468734487904,32.14638721811643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.52857971191406,10.959339141845703,9.227349281311035,96.16967010498047,68.16047668457031,78.59933471679688,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.10000000894069672,6.669920171731292e-09,0.09999997168779373,0.10000003129243851,0.10000000149011612,0.10000000894069672
9,33.47701386665767,36.87289586921926,32.79783746614535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.32373809814453,11.039929389953613,9.755956649780273,96.52155303955078,66.60009765625,78.07215118408203,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.10000001639127731,1.2916956393382861e-08,0.09999997168779373,0.10000003129243851,0.10000000149011612,0.10000000894069672
10,33.60338198911473,37.05039878934264,32.91397862906915,33.58100452258688,36.96287563545309,32.904630300013636,0.022377466527849776,0.08752315388954912,0.00934832905551275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.17822265625,11.219066619873047,9.383275032043457,97.6106948852539,69.93803405761719,80.44231414794922,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.10000001639127731,1.2794449055775203e-08,0.09999997168779373,0.10000003129243851,0.10000000149011612,0.10000000894069672
